benchmark,run,result
mat-mul,alias_analysis,1990402
dot-product,baseline,88
dot-product,remove_nops,88
dot-product,alias_analysis,88
csrmv,baseline,121202
csrmv,remove_nops,121194
csrmv,alias_analysis,121194
sieve,baseline,3482
sieve,remove_nops,3455
sieve,alias_analysis,3455
vsmul,baseline,86036
vsmul,remove_nops,86036
vsmul,alias_analysis,86036
eight-queens,baseline,1006454
eight-queens,remove_nops,1006454
eight-queens,alias_analysis,1006454
primitive-root,baseline,11029
primitive-root,remove_nops,11029
primitive-root,alias_analysis,11029
quickselect,baseline,279
quickselect,remove_nops,279
quickselect,alias_analysis,279
major-elm,baseline,47
major-elm,remove_nops,47
major-elm,alias_analysis,47
two-sum,baseline,98
two-sum,remove_nops,98
two-sum,alias_analysis,98
max-subarray,baseline,193
max-subarray,remove_nops,193
max-subarray,alias_analysis,193
binary-search,baseline,78
binary-search,remove_nops,78
binary-search,alias_analysis,78
quicksort-hoare,baseline,27333
quicksort-hoare,remove_nops,27783
quicksort-hoare,alias_analysis,27783
adler32,baseline,6851
adler32,remove_nops,6850
adler32,alias_analysis,6850
quicksort,baseline,264
quicksort,remove_nops,256
quicksort,alias_analysis,256
bubblesort,baseline,253
bubblesort,remove_nops,242
bubblesort,alias_analysis,242
fib,baseline,121
fib,remove_nops,120
fib,alias_analysis,120
